Bestellnummer;Menge;EAN;Name;Variante;Kategorie
LMB4001005;;4262403384545;Lost Mary BM600 CP Einweg E-Zigarette - Cherry Ice (VE = 400Stk);20mg;Einwegzigaretten
LMB4001009;;4262403384583;Lost Mary BM600 CP Einweg E-Zigarette - Grape (VE = 400Stk);20mg;Einwegzigaretten
LMB4001010;;4262403384590;Lost Mary BM600 CP Einweg E-Zigarette - Peach Ice (ehem. Juicy Peach) (VE = 400Stk);20mg;Einwegzigaretten
LMB4001013;;4262403384620;Lost Mary BM600 CP Einweg E-Zigarette - Marygy Ice (VE = 400Stk);20mg;Einwegzigaretten
LMB4001015;;4262403384644;Lost Mary BM600 CP Einweg E-Zigarette - Pineapple Ice (VE = 400Stk);20mg;Einwegzigaretten
LMB4001018;;4262403384675;Lost Mary BM600 CP Einweg E-Zigarette - Red Apple Ice (VE = 400Stk);20mg;Einwegzigaretten
ELFL10001;;4895261109816;ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10002;;4895261110317;ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10005;;4895261109861;ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10006;;4895261110362;ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10007;;4895261109854;ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10008;;4895261110355;ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10009;;4895261109878;ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10010;;4895261110379;ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10013;;4895261109922;ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10014;;4895261110423;ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10015;;4895261109953;ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10016;;4895261110454;ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10017;;4895261109984;ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10018;;4895261110485;ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10025;;4895261110027;ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10026;;4895261110522;ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10027;;4895261110010;ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10028;;4895261110515;ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10029;;4895261110058;ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10030;;4895261110553;ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
EFL101001;;4895261110065;ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101002;;4895261110560;ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101005;;4895261110119;ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101006;;4895261110614;ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101007;;4895261110102;ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101008;;4895261110607;ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101009;;4895261110126;ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101010;;4895261110621;ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101013;;4895261110171;ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101014;;4895261110676;ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101015;;4895261110201;ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101016;;4895261110706;ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101017;;4895261110232;ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101018;;4895261110737;ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101025;;4895261110270;ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101026;;4895261110775;ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101027;;4895261110263;ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101028;;4895261110768;ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101029;;4895261110300;ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101030;;4895261110805;ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL2001001;;4262481468991;ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001002;;4262481469288;ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001005;;4262481469059;ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001006;;4262481469349;ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001007;;4262481469042;ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001008;;4262481469332;ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001009;;4262481469066;ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001010;;4262481469356;ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001013;;4262481469103;ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001014;;4262481469394;ELFBAR ELFLIQ Grape Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001015;;4262481469158;ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001016;;4262481469448;ELFBAR ELFLIQ Peach Ice Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001017;;4262481469196;ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001018;;4262481469486;ELFBAR ELFLIQ Pink Lemonade Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001025;;4262481469226;ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001026;;4262481469516;ELFBAR ELFLIQ Strawberry Ice Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001027;;4262481469240;ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001028;;4262481469530;ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001029;;4262481469271;ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001030;;4262481469561;ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
ELFL10031;;4895261109892;ELFBAR ELFLIQ Cola Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10032;;4895261110393;ELFBAR ELFLIQ Cola Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10033;;4895261109939;ELFBAR ELFLIQ Kiwi Passion Fruit Guava Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10034;;4895261110430;ELFBAR ELFLIQ Kiwi Passion Fruit Guava Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
EFL101031;;4895261110140;ELFBAR ELFLIQ Cola Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101032;;4895261110645;ELFBAR ELFLIQ Cola Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101033;;4895261110188;ELFBAR ELFLIQ Kiwi Passion Fruit Guava Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101034;;4895261110683;ELFBAR ELFLIQ Kiwi Passion Fruit Guava Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL2001031;;4262481469080;ELFBAR ELFLIQ Cola Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001032;;4262481469370;ELFBAR ELFLIQ Cola Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001033;;4262481469110;ELFBAR ELFLIQ Kiwi Passion Fruit Guava Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001034;;4262481469400;ELFBAR ELFLIQ Kiwi Passion Fruit Guava Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
ELFL10003;;4895261109847;ELFBAR ELFLIQ Blue Razz Lemonade Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10004;;4895261110348;ELFBAR ELFLIQ Blue Razz Lemonade Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10011;;4895261109885;ELFBAR ELFLIQ Cherry Cola Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10012;;4895261110386;ELFBAR ELFLIQ Cherry Cola Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
ELFL10021;;4895261110003;ELFBAR ELFLIQ Spearmint Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10022;;4895261110508;ELFBAR ELFLIQ Spearmint Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
EFL101003;;4895261110096;ELFBAR ELFLIQ Blue Razz Lemonade Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101004;;4895261110591;ELFBAR ELFLIQ Blue Razz Lemonade Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL101011;;4895261110133;ELFBAR ELFLIQ Cherry Cola Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101021;;4895261110256;ELFBAR ELFLIQ Spearmint Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101022;;4895261110751;ELFBAR ELFLIQ Spearmint Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL2001003;;4262481469035;ELFBAR ELFLIQ Blue Razz Lemonade Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001004;;4262481469325;ELFBAR ELFLIQ Blue Razz Lemonade Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001011;;4262481469073;ELFBAR ELFLIQ Cherry Cola Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001012;;4262481469363;ELFBAR ELFLIQ Cherry Cola Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
EFL2001021;;4262481469219;ELFBAR ELFLIQ Spearmint Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001022;;4262481469509;ELFBAR ELFLIQ Spearmint Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
ELFL10035;;4895261109946;ELFBAR ELFLIQ Mango Nikotinsalz Liquid 10 ml;20mg;ELFA-Liquid
ELFL10036;;4895261110447;ELFBAR ELFLIQ Mango Nikotinsalz Liquid 10 ml;10mg;ELFA-Liquid
EFL101035;;4895261110195;ELFBAR ELFLIQ Mango Nikotinsalz Liquid 10 ml (VE = 10Stk);20mg;ELFA-Liquid
EFL101036;;4895261110690;ELFBAR ELFLIQ Mango Nikotinsalz Liquid 10 ml (VE = 10Stk);10mg;ELFA-Liquid
EFL2001035;;4262481469127;ELFBAR ELFLIQ Mango Nikotinsalz Liquid 10 ml (VE = 200Stk);20mg;ELFA-Liquid
EFL2001036;;4262481469417;ELFBAR ELFLIQ Mango Nikotinsalz Liquid 10 ml (VE = 200Stk);10mg;ELFA-Liquid
QM101001;;4262403389830;Lost Mary QM600 Einweg E-Zigarette - Blue Razz Cherry (VE = 10Stk);20mg;Einwegzigaretten
QM101002;;4262403389823;Lost Mary QM600 Einweg E-Zigarette - Blueberry Ice (VE = 10Stk);20mg;Einwegzigaretten
QM101003;;4262403389816;Lost Mary QM600 Einweg E-Zigarette - Blueberry Raspberry (VE = 10Stk);20mg;Einwegzigaretten
QM101004;;4262403389809;Lost Mary QM600 Einweg E-Zigarette - Blueberry Raspberry Pomegranate (VE = 10Stk);20mg;Einwegzigaretten
QM101005;;4262403389793;Lost Mary QM600 Einweg E-Zigarette - Blueberry Sour Raspberry (VE = 10Stk);20mg;Einwegzigaretten
QM101006;;4262403389786;Lost Mary QM600 Einweg E-Zigarette - Cherry Ice (VE = 10Stk);20mg;Einwegzigaretten
QM101007;;4262403389779;Lost Mary QM600 Einweg E-Zigarette - Cherry Peach Lemonade (VE = 10Stk);20mg;Einwegzigaretten
QM101008;;4262403389762;Lost Mary QM600 Einweg E-Zigarette - Cola (VE = 10Stk);20mg;Einwegzigaretten
QM101009;;4262403389755;Lost Mary QM600 Einweg E-Zigarette - Grape (VE = 10Stk);20mg;Einwegzigaretten
QM101010;;4262403389748;Lost Mary QM600 Einweg E-Zigarette - Kiwi Passionfruit Guava (VE = 10Stk);20mg;Einwegzigaretten
QM101011;;4262403389731;Lost Mary QM600 Einweg E-Zigarette - Mad Blue (VE = 10Stk);20mg;Einwegzigaretten
QM101012;;4262403389724;Lost Mary QM600 Einweg E-Zigarette - Marygy Ice (VE = 10Stk);20mg;Einwegzigaretten
QM101013;;4262403389717;Lost Mary QM600 Einweg E-Zigarette - Peach Strawberry Watermelon Ice (VE = 10Stk);20mg;Einwegzigaretten
QM101014;;4262403389700;Lost Mary QM600 Einweg E-Zigarette - Pink Lemonade (VE = 10Stk);20mg;Einwegzigaretten
QM101015;;4262403389694;Lost Mary QM600 Einweg E-Zigarette - Red Apple Ice (VE = 10Stk);20mg;Einwegzigaretten
QM101016;;4262403389687;Lost Mary QM600 Einweg E-Zigarette - Strawberry Kiwi (VE = 10Stk);20mg;Einwegzigaretten
QM101017;;4262403389670;Lost Mary QM600 Einweg E-Zigarette - Triple Mango (VE = 10Stk);20mg;Einwegzigaretten
QM101018;;4262403389847;Lost Mary QM600 Einweg E-Zigarette - Watermelon Ice (VE = 10Stk);20mg;Einwegzigaretten
QM4001001;;4262423770014;Lost Mary QM600 Einweg E-Zigarette - Blue Razz Cherry (VE = 400Stk);20mg;Einwegzigaretten
QM4001002;;4262423770007;Lost Mary QM600 Einweg E-Zigarette - Blueberry Ice (VE = 400Stk);20mg;Einwegzigaretten
QM4001003;;4262403389991;Lost Mary QM600 Einweg E-Zigarette - Blueberry Raspberry (VE = 400Stk);20mg;Einwegzigaretten
QM4001004;;4262403389984;Lost Mary QM600 Einweg E-Zigarette - Blueberry Raspberry Pomegranate (VE = 400Stk);20mg;Einwegzigaretten
QM4001005;;4262403389977;Lost Mary QM600 Einweg E-Zigarette - Blueberry Sour Raspberry (VE = 400Stk);20mg;Einwegzigaretten
QM4001006;;4262403389960;Lost Mary QM600 Einweg E-Zigarette - Cherry Ice (VE = 400Stk);20mg;Einwegzigaretten
QM4001007;;4262403389953;Lost Mary QM600 Einweg E-Zigarette - Cherry Peach Lemonade (VE = 400Stk);20mg;Einwegzigaretten
QM4001008;;4262403389946;Lost Mary QM600 Einweg E-Zigarette - Cola (VE = 400Stk);20mg;Einwegzigaretten
QM4001009;;4262403389939;Lost Mary QM600 Einweg E-Zigarette - Grape (VE = 400Stk);20mg;Einwegzigaretten
QM4001010;;4262403389922;Lost Mary QM600 Einweg E-Zigarette - Kiwi Passionfruit Guava (VE = 400Stk);20mg;Einwegzigaretten
QM4001011;;4262403389915;Lost Mary QM600 Einweg E-Zigarette - Mad Blue (VE = 400Stk);20mg;Einwegzigaretten
QM4001012;;4262403389908;Lost Mary QM600 Einweg E-Zigarette - Marygy Ice (VE = 400Stk);20mg;Einwegzigaretten
QM4001013;;4262403389892;Lost Mary QM600 Einweg E-Zigarette - Peach Strawberry Watermelon Ice (VE = 400Stk);20mg;Einwegzigaretten
QM4001014;;4262403389885;Lost Mary QM600 Einweg E-Zigarette - Pink Lemonade (VE = 400Stk);20mg;Einwegzigaretten
QM4001015;;4262403389878;Lost Mary QM600 Einweg E-Zigarette - Red Apple Ice (VE = 400Stk);20mg;Einwegzigaretten
QM4001016;;4262403389861;Lost Mary QM600 Einweg E-Zigarette - Strawberry Kiwi (VE = 400Stk);20mg;Einwegzigaretten
QM4001017;;4262403389854;Lost Mary QM600 Einweg E-Zigarette - Triple Mango (VE = 400Stk);20mg;Einwegzigaretten
QM4001018;;4262423770021;Lost Mary QM600 Einweg E-Zigarette - Watermelon Ice (VE = 400Stk);20mg;Einwegzigaretten
TAPO10003;;4262445571415;2x Lost Mary TAPPO Prefilled Pod - Cranberry Grape;20mg;Prefilled Pods
TAPO10004;;4262445571422;2x Lost Mary TAPPO Prefilled Pod - Kiwi Passion Fruit Guava;20mg;Prefilled Pods
TAPO10006;;4262445571453;2x Lost Mary TAPPO Prefilled Pod - Watermelon;20mg;Prefilled Pods
TAPO10007;;4262445571460;2x Lost Mary TAPPO Prefilled Pod - Watermelon Cherry;20mg;Prefilled Pods
TAPO10008;;4262445571651;2x Lost Mary TAPPO Prefilled Pod - Watermelon Mojito;20mg;Prefilled Pods
TAPO10009;;4262445571439;2x Lost Mary TAPPO Prefilled Pod - Marystorm;20mg;Prefilled Pods
TPO101001;;4262445571552;2x Lost Mary TAPPO Prefilled Pod - Blue Razz Lemonade (VE = 10Stk);20mg;Prefilled Pods
TPO101002;;4262445571484;2x Lost Mary TAPPO Prefilled Pod - Blueberry Sour Raspberry (VE = 10Stk);20mg;Prefilled Pods
TPO101003;;4262445571491;2x Lost Mary TAPPO Prefilled Pod - Cranberry Grape (VE = 10Stk);20mg;Prefilled Pods
TPO101004;;4262445571507;2x Lost Mary TAPPO Prefilled Pod - Kiwi Passion Fruit Guava (VE = 10Stk);20mg;Prefilled Pods
TPO101006;;4262445571538;2x Lost Mary TAPPO Prefilled Pod - Watermelon (VE = 10Stk);20mg;Prefilled Pods
TPO101007;;4262445571545;2x Lost Mary TAPPO Prefilled Pod - Watermelon Cherry (VE = 10Stk);20mg;Prefilled Pods
TPO101008;;4262445571675;2x Lost Mary TAPPO Prefilled Pod - Watermelon Mojito (VE = 10Stk);20mg;Prefilled Pods
TPO101009;;4262445571514;2x Lost Mary TAPPO Prefilled Pod - Marystorm (VE = 10Stk);20mg;Prefilled Pods
TPO4001006;;4262445571613;2x Lost Mary TAPPO Prefilled Pod - Watermelon (VE = 400Stk);20mg;Prefilled Pods
TPO4001007;;4262445571620;2x Lost Mary TAPPO Prefilled Pod - Watermelon Cherry (VE = 400Stk);20mg;Prefilled Pods
